code,name,surname,birthday,address_street_number,address_street,address_city,address_postal_code,address_country
ind-40412778-454,Kayle,Samber,1993-03-11T03:30:02Z,4295,Loeprich,Sil-li,,North Korea
ind-46766900-448,Jane,Janout,1935-03-22T23:36:39Z,26696,Talisman,Ongjin,,North Korea
ind-70271967-383,Babbie,Endrici,1970-03-11T06:51:23Z,26,Quincy,Hŭngnam,,North Korea
ind-65758389-149,Zaccaria,Elflain,1921-11-05T07:15:34Z,266,Londonderry,Hoeyang,,North Korea
ind-70844808-739,Ara,Leathwood,1952-07-25T16:51:52Z,3,Dunning,Songnim,,North Korea
ind-57026883-039,Dyane,Sharville,1923-04-25T01:06:18Z,1475,Vernon,Sakchu-ŭp,,North Korea
ind-80779614-581,Carlina,Warnes,1981-08-20T01:20:01Z,12822,Sunnyside,Sunan,,North Korea
ind-13265298-591,Kerwinn,Casserly,1976-08-12T14:35:46Z,681,Bay,Ayang-ni,,North Korea
ind-05073565-273,Sandra,Mirando,1946-10-08T21:49:59Z,6,Dunning,Kosan,,North Korea
ind-56991961-611,Ophelie,Labdon,1999-01-28T13:21:12Z,3381,Forster,Kaesŏng,,North Korea
ind-13614841-752,Siouxie,Miguet,1954-02-10T04:39:04Z,4,Evergreen,Aoji-ri,,North Korea
ind-56898066-085,Philippe,McAulay,1945-10-17T18:52:18Z,58,Heath,Hoeyang,,North Korea
ind-94576929-586,Bob,Lait,1964-03-17T13:22:17Z,68,Butterfield,Hyesan-dong,,North Korea
ind-71623604-668,Ashely,MacGorman,1973-10-16T09:42:29Z,0,Susan,Hamhŭng,,North Korea
ind-92099292-977,Margarette,Murkus,1970-08-19T16:45:39Z,58,Transport,Haeju,,North Korea
ind-83951470-237,Helen,Garham,2003-12-21T21:19:26Z,0877,Buhler,Anbyŏn-ŭp,,North Korea
ind-34851117-188,Corabel,Grollmann,2002-07-30T00:15:05Z,96965,Welch,Hŭngnam,,North Korea
ind-52830822-451,Albie,German,1986-08-15T10:37:15Z,1,Maywood,Hoeyang,,North Korea
ind-02517278-559,Emmeline,Clarage,1966-05-14T20:09:35Z,361,Eggendart,Sil-li,,North Korea
ind-11118826-215,Kirk,Lantuffe,2002-09-27T16:24:15Z,0826,Prairieview,Yŏnan-ŭp,,North Korea
ind-78747622-397,Quent,Crambie,2007-05-26T01:06:08Z,2,Morrow,Chaeryŏng-ŭp,,North Korea
ind-28912598-885,Brendon,Iseton,2009-09-24T12:23:14Z,13430,Saint Paul,Yŏnan-ŭp,,North Korea
ind-22271943-153,Neilla,Checcucci,1974-01-21T17:30:06Z,79,Toban,Kapsan-ŭp,,North Korea
ind-17405364-145,Culley,Disbury,2009-11-23T03:33:14Z,1300,Utah,Hongwŏn,,North Korea
ind-00667289-747,Pennie,Kerr,1969-08-10T05:18:08Z,17,Myrtle,Aoji-ri,,North Korea
ind-37531930-932,Kathe,Foye,1929-10-26T01:32:10Z,454,Southridge,Hongwŏn,,North Korea
ind-84972905-155,Benetta,Shellard,1938-06-30T16:39:35Z,80,Kingsford,Changyŏn,,North Korea
ind-37984780-719,Keriann,Dimbylow,1927-04-12T03:11:24Z,00492,Cardinal,Songnim,,North Korea
ind-66320617-499,Fulvia,Quare,1945-01-10T16:20:58Z,63624,Talmadge,Kujang-ŭp,,North Korea
ind-91426095-273,Itch,Ryles,1934-10-21T00:23:24Z,98937,Westerfield,Hyesan-dong,,North Korea
ind-49730136-872,Sib,Rennie,2005-01-19T10:04:28Z,8,North,Kangdong-ŭp,,North Korea
ind-83677952-898,Conny,Aloigi,1974-02-10T23:55:10Z,3,Roxbury,Hŭngnam,,North Korea
ind-89423410-261,Moise,Lamkin,1942-07-22T14:24:17Z,1,Towne,Changyŏn,,North Korea
ind-16867538-574,Ringo,Vinnicombe,1932-03-29T00:29:10Z,420,Mallory,Kilju,,North Korea
ind-10318140-178,Lemar,Enion,1932-02-06T13:21:16Z,781,Old Shore,Kapsan-ŭp,,North Korea
ind-63765458-503,Stearn,Seagrave,1980-11-29T18:56:44Z,58,Petterle,Onsŏng,,North Korea
ind-18201211-326,Rosa,Goody,1960-05-18T07:26:06Z,688,Longview,Kyŏngsŏng,,North Korea
ind-93885534-694,Mommy,Oppie,1927-07-03T01:32:10Z,82,Melvin,Sŏnbong,,North Korea
ind-19395187-290,Jacquelin,Corness,1996-03-28T17:56:42Z,4327,Green,Hŭngju-dong,,North Korea
ind-59733107-744,Kore,Inglish,1925-11-26T03:19:02Z,2,Badeau,Kaesŏng,,North Korea
ind-92537366-728,Nananne,Moylan,1944-11-01T06:52:59Z,68584,Dryden,Samho-rodongjagu,,North Korea
ind-69142575-976,Lisbeth,Easun,1945-01-09T05:29:08Z,12387,Lakeland,Yŏnggwang-ŭp,,North Korea
ind-88483337-220,Darryl,Steet,1963-09-19T10:08:49Z,22905,Dorton,Chongjin,,North Korea
ind-83286278-835,Aurora,Cockayne,2002-08-29T01:43:01Z,0,Redwing,Musan-ŭp,,North Korea
ind-73820703-488,Aime,Gofton,1991-09-24T09:14:53Z,1484,Mockingbird,T’ongch’ŏn-ŭp,,North Korea
ind-08346337-643,Vivi,Norssister,1976-07-10T15:15:11Z,2026,Red Cloud,Hamhŭng,,North Korea
ind-29294417-701,Trumann,Sitlinton,1947-08-16T18:50:52Z,671,Kropf,Hyesan-dong,,North Korea
ind-31430396-537,Shari,Easterfield,1985-11-19T18:22:40Z,98478,Buhler,Aoji-ri,,North Korea
ind-31333578-039,Rutledge,Fouracre,1987-09-07T02:01:17Z,7,Drewry,Kimch’aek-si,,North Korea
ind-37288135-953,Ximenes,Malacrida,1987-12-25T22:50:29Z,4469,Dayton,Kusŏng,,North Korea
ind-02714567-586,Tarah,Fippe,1960-02-18T19:24:29Z,563,Blackbird,Hyesan-si,,North Korea
ind-48078630-846,Jaimie,Chalfont,1932-01-06T14:07:46Z,68,Monica,Sŭngho 1-tong,,North Korea
ind-65727318-391,Bobby,Vosse,1978-12-18T10:37:58Z,7,Morningstar,T’ongch’ŏn-ŭp,,North Korea
ind-72783299-038,Marylinda,Perdue,1997-12-13T08:06:58Z,50560,Charing Cross,Aoji-ri,,North Korea
ind-77487932-769,Adelheid,Stoggles,2008-12-16T01:22:51Z,264,Superior,Musan-ŭp,,North Korea
ind-67332895-233,King,Ivakin,2005-07-05T15:12:13Z,32878,Fieldstone,Kapsan-ŭp,,North Korea
ind-65485782-830,Tulley,Kennealy,1933-11-10T14:03:05Z,9250,Nancy,Hyesan-dong,,North Korea
ind-64723059-025,Suzette,Limon,1992-09-18T18:55:27Z,8080,Elgar,Aoji-ri,,North Korea
ind-80277642-834,Sophie,Schroeder,1936-06-25T12:56:54Z,56217,Old Shore,Wŏnsan,,North Korea
ind-74660089-408,Doretta,Sitford,1972-08-18T07:02:44Z,28901,Mallory,Kosan,,North Korea
ind-80539732-977,Giovanni,Henstridge,1937-10-21T05:09:58Z,2402,Towne,Nanam,,North Korea
ind-26600598-354,Vivia,Arenson,1923-02-16T12:14:33Z,81607,Straubel,Iwŏn-ŭp,,North Korea
ind-88799957-753,Yard,Vinden,1920-09-10T19:30:09Z,43,Magdeline,Iwŏn-ŭp,,North Korea
ind-52981718-932,Milly,Kindread,1994-05-29T21:31:37Z,6,Veith,Ongjin,,North Korea
ind-24192926-502,Jacinthe,Huckster,1949-10-03T01:01:18Z,5738,Laurel,Kapsan-ŭp,,North Korea
ind-91670448-410,Alonso,Fidgett,1923-09-07T04:52:07Z,53,Nancy,Chunghwa,,North Korea
ind-53471719-916,Barbara,Panner,1968-07-14T08:19:58Z,3800,3rd,Chongjin,,North Korea
ind-28337660-990,Timothee,Potts,1962-05-15T21:02:15Z,4308,Ryan,Sinŭiju,,North Korea
ind-68104594-782,Berkly,Di Nisco,1980-07-01T07:55:33Z,3,Arkansas,Songnim,,North Korea
ind-72420989-478,Timothee,Grigsby,1927-12-10T05:48:56Z,65,Sommers,Hyesan-dong,,North Korea
ind-91380118-854,Janek,Axtens,1947-11-24T12:11:10Z,22890,Fairview,Kangdong-ŭp,,North Korea
ind-04906183-257,Marquita,Rouby,1946-10-25T20:40:16Z,4005,Laurel,Najin,,North Korea
ind-77532295-838,Reginald,Kielty,1926-01-30T15:14:50Z,96,Orin,Sil-li,,North Korea
ind-52135425-485,Nisse,Ferrie,1955-06-04T06:17:18Z,0,Lakewood Gardens,Changyŏn,,North Korea
ind-26284192-850,Phedra,Wellstead,1992-06-11T16:13:57Z,72949,Maple Wood,Namyang-dong,,North Korea
ind-15728159-852,Alyss,Kingscote,1928-09-14T18:02:12Z,03905,Tomscot,Kaesŏng,,North Korea
ind-17561629-460,Boyd,Dirr,1981-03-04T03:16:49Z,02157,Northwestern,Sariwŏn,,North Korea
ind-86459809-989,Brennen,Caress,1982-07-24T10:31:59Z,11,2nd,Sunan,,North Korea
ind-16740491-595,Kippy,Longson,1926-07-10T17:18:48Z,9771,Trailsway,Sunan,,North Korea
ind-42692748-497,Marya,Gourley,2002-01-01T07:55:05Z,7,Cardinal,Ŭiju,,North Korea
ind-37204364-874,Alyosha,Gower,1934-04-12T13:02:00Z,82504,Bultman,Yuktae-dong,,North Korea
ind-00771599-804,Rube,Dwane,1926-07-02T14:47:10Z,7656,Cambridge,Hoeryŏng,,North Korea
ind-26973755-632,Quincy,Croad,1953-06-14T08:09:03Z,08,Memorial,Hwangju-ŭp,,North Korea
ind-62472699-610,Dorelle,Tovey,1970-11-21T22:41:41Z,13,Crest Line,Hyesan-si,,North Korea
ind-53295860-539,Marice,Bahls,1975-07-04T06:02:19Z,7316,Prairieview,Sŭngho 1-tong,,North Korea
ind-19986689-492,Chilton,Wright,1984-10-28T01:54:25Z,6,Waubesa,Musan-ŭp,,North Korea
ind-11655722-441,Madelena,Sirrell,1955-04-27T06:41:50Z,39936,Northfield,Hongwŏn,,North Korea
ind-34198343-710,Justis,Eckart,2004-05-12T16:45:55Z,70,Loomis,Kangdong-ŭp,,North Korea
ind-33182739-972,Galven,Liffe,1978-01-04T13:46:50Z,3277,Waywood,Hyesan-si,,North Korea
ind-11175157-629,Binnie,Clapham,1977-02-23T11:24:58Z,6336,Westerfield,Yŏnggwang-ŭp,,North Korea
ind-52088456-076,Morganica,Rizzardo,1938-07-08T13:21:04Z,790,Cordelia,Hoeyang,,North Korea
ind-12694255-287,Hilliary,Durie,1932-04-10T11:57:57Z,14,Donald,Hŭkkyo-ri,,North Korea
ind-51751158-695,Olivette,Deguara,2002-11-16T23:36:58Z,6119,Dunning,Aoji-ri,,North Korea
ind-46679493-128,Maurits,McGurgan,1938-09-04T02:27:25Z,36606,Warner,Hwangju-ŭp,,North Korea
ind-09524211-830,Sarene,Danniel,2008-10-01T16:48:05Z,412,Amoth,Kusŏng,,North Korea
ind-42333390-267,Graeme,Rey,1980-07-15T18:40:23Z,6933,Troy,Onsŏng,,North Korea
ind-05842754-550,Annaliese,Drake,2001-04-11T03:52:59Z,45807,Carey,Hyesan-dong,,North Korea
ind-14418917-988,Gabbi,Boylan,1985-01-13T19:50:50Z,41,Hayes,Wŏnsan,,North Korea
ind-65205340-808,Janot,Scurrell,1998-12-25T00:41:15Z,0,Eastlawn,Pyongyang,,North Korea
ind-74050750-329,Wye,Pedrielli,1951-10-31T20:53:08Z,0,Emmet,Wŏnsan,,North Korea
ind-68435209-059,Barrie,Tootell,1947-11-06T10:01:29Z,5401,Kenwood,Kowŏn-ŭp,,North Korea
ind-29778096-373,Marja,Muress,1995-08-03T16:19:42Z,90,Clemons,Namp’o,,North Korea
ind-50438611-609,Johan,Tredinnick,1976-02-05T06:52:40Z,074,Center,Hŭngnam,,North Korea
ind-03454295-523,Malissia,Baumert,1958-03-22T10:04:27Z,3,Calypso,Kusŏng,,North Korea
ind-30257696-674,Cristian,Tapply,1946-02-21T22:12:22Z,5,Stoughton,Hyesan-dong,,North Korea
ind-83119308-378,Isidora,Arnaut,1997-11-02T19:06:17Z,3741,Corscot,Yŏnan-ŭp,,North Korea
ind-10766296-065,Lee,Pinkstone,1983-05-28T08:38:00Z,6846,Straubel,Kanggye-si,,North Korea
ind-86131516-608,Lorenza,Fuente,1972-07-05T18:26:57Z,79212,Northland,Nanam,,North Korea
ind-96708159-660,Austen,Aronstam,1988-04-07T10:31:33Z,125,Morning,Namyang-dong,,North Korea
ind-76486119-147,Ellswerth,Trineman,1941-09-28T15:31:37Z,9324,Sunnyside,Namyang-dong,,North Korea
ind-57171771-562,Latisha,Saltsberg,1967-05-27T08:32:55Z,215,Lake View,Kapsan-ŭp,,North Korea
ind-55156394-750,Frants,Olczak,1957-11-26T17:26:53Z,594,Messerschmidt,Chasŏng,,North Korea
ind-28982813-866,Jessee,Gauson,1997-01-24T14:53:36Z,86,Valley Edge,Kaesŏng,,North Korea
ind-00846494-637,Baxy,O'Henecan,2002-08-22T10:44:07Z,5019,Summerview,Hwangju-ŭp,,North Korea
ind-12235559-584,Ivonne,Lygoe,1953-01-17T10:13:49Z,22,High Crossing,Sunan,,North Korea
ind-13488245-479,Sandro,Pardal,1933-10-18T13:47:23Z,39483,Ridgeway,Sŏnbong,,North Korea
ind-56710352-877,Gustavo,Farnin,1990-06-18T23:05:33Z,0260,Quincy,Kapsan-ŭp,,North Korea
ind-58847031-236,Vyky,Willisch,1924-07-30T23:51:19Z,7,Duke,Sunan,,North Korea
ind-02581533-937,Torre,Siddle,1957-10-01T19:20:48Z,138,Main,Hŭngju-dong,,North Korea
ind-77218810-716,Mattie,Ryley,1951-08-23T05:09:27Z,57078,Victoria,Hŭngju-dong,,North Korea
ind-02244605-611,Prissie,Guittet,1989-03-28T18:39:43Z,5150,Talmadge,Chunghwa,,North Korea
ind-27745751-442,Carly,Jozwik,1973-04-26T17:33:56Z,7962,Dottie,Sil-li,,North Korea
ind-46764242-526,Alta,Yewdall,1988-03-28T16:50:14Z,5,Milwaukee,Kilju,,North Korea
ind-39611559-717,Eolanda,Chappell,1987-09-03T17:27:16Z,983,Prentice,Sunan,,North Korea
ind-06321904-786,Stormi,Mayberry,1955-05-10T07:27:46Z,48,Tennessee,Wŏnsan,,North Korea
ind-12859567-941,Phillis,Kohen,1993-10-05T12:56:44Z,5088,Gina,Hyesan-si,,North Korea
ind-68087736-598,Leupold,Ciccotto,2005-02-10T19:13:44Z,2701,Pond,Kyŏngsŏng,,North Korea
ind-97068032-977,Ranee,Perllman,1960-06-16T16:48:01Z,6,Algoma,Sŏnbong,,North Korea
ind-85851559-891,Cherilyn,Merricks,1982-01-11T00:13:11Z,53,Weeping Birch,Kilju,,North Korea
ind-47128737-779,Carlos,Furst,1979-07-02T02:57:59Z,9060,Crowley,Sinmak,,North Korea
ind-47939360-348,Phip,Pyffe,1932-02-15T12:48:10Z,3,Algoma,Hyesan-dong,,North Korea
ind-63315788-532,Udall,Pentecost,1942-08-02T20:50:26Z,8,Elka,Hamhŭng,,North Korea
ind-06167521-755,Buck,Beedom,1947-12-30T11:13:07Z,8,8th,Sinmak,,North Korea
ind-40309444-154,Madelle,Herche,1994-08-02T10:20:27Z,24,3rd,Hwangju-ŭp,,North Korea
ind-62772143-953,Marcellus,Saywell,1939-09-14T04:38:49Z,2,Drewry,Kilju,,North Korea
ind-25826580-391,Lefty,Duigenan,1957-09-04T05:08:59Z,5,Goodland,Onsŏng,,North Korea
ind-00795071-418,Zsa zsa,Habbeshaw,1926-09-07T01:33:23Z,6,Summit,Sinmak,,North Korea
ind-89303716-101,Archibold,Locket,1988-03-10T07:21:04Z,249,Main,Sinŭiju,,North Korea
ind-99862169-772,Pearla,Fetherstan,1925-09-10T03:04:42Z,5564,Jana,Sinanju,,North Korea
ind-14587510-347,Michelina,Van Dalen,1994-01-08T08:40:29Z,155,Mesta,Aoji-ri,,North Korea
ind-35856890-391,Blinni,Terron,1963-10-07T02:19:24Z,83,Steensland,Yŏnggwang-ŭp,,North Korea
ind-63974808-100,Giffie,Josephsen,2001-10-29T21:15:52Z,035,Maryland,Kilju,,North Korea
ind-83203960-876,Luisa,Eyden,1930-11-06T11:32:28Z,9,New Castle,Anbyŏn-ŭp,,North Korea
ind-00863143-694,Brittni,Boam,1994-05-29T19:54:24Z,3953,Corben,Yŏnggwang-ŭp,,North Korea
ind-64659323-045,Cheri,Munton,1953-10-06T01:18:17Z,46190,Cascade,Najin,,North Korea
ind-21955636-971,Heda,McLoney,1974-11-25T21:11:03Z,61,Ruskin,Chunghwa,,North Korea
ind-86983700-119,Willi,Keal,1973-01-27T22:03:40Z,080,Meadow Valley,Kilju,,North Korea
ind-17255867-076,Otis,See,1921-05-09T10:56:20Z,5,Hanson,Sil-li,,North Korea
ind-65611755-298,Ariel,Polk,1991-09-19T18:48:05Z,8,Jackson,Sinmak,,North Korea
ind-05661187-366,Gustaf,Sirey,1925-10-14T17:12:31Z,6206,Parkside,Kowŏn-ŭp,,North Korea
ind-66842404-709,Toby,Tarrant,1939-03-21T04:37:21Z,59,Dexter,Kaesŏng,,North Korea
ind-97998050-869,Gare,Cannam,1945-05-08T17:30:38Z,74,Lakewood Gardens,Sinmak,,North Korea
ind-65489645-574,Michaela,Olczak,1993-11-04T08:56:46Z,19055,Merry,Chunghwa,,North Korea
ind-18514337-186,Shamus,Ockwell,1974-06-28T14:31:31Z,482,Vidon,P’yŏngsŏng,,North Korea
ind-22514789-972,Avivah,Annice,1978-11-18T21:33:01Z,50098,2nd,Kilju,,North Korea
ind-12018596-823,Rutter,Concannon,1935-07-29T22:17:07Z,96912,Sunnyside,Hamhŭng,,North Korea
ind-85047919-748,Phil,Mushawe,2003-04-30T04:57:25Z,29751,1st,Hyesan-si,,North Korea
ind-95363085-512,Clovis,Yearby,1933-11-15T05:08:44Z,152,Armistice,Chongjin,,North Korea
ind-11898534-959,Beatrice,Colbourn,1937-06-17T02:25:24Z,7074,Barby,Kosan,,North Korea
ind-10533049-207,Allina,Sparshatt,1985-08-02T02:56:16Z,22192,Valley Edge,Chongjin,,North Korea
ind-10837781-133,Rosco,Reast,1956-04-28T07:51:36Z,81390,Monterey,Kanggye-si,,North Korea
ind-76180582-305,Cybill,McCutheon,1975-11-01T16:37:24Z,5,Prairie Rose,Chongjin,,North Korea
ind-30515529-684,Esme,Cuss,1975-03-06T17:02:20Z,4080,Lyons,Iwŏn-ŭp,,North Korea
ind-92670086-497,Lurline,Terbeek,1931-04-01T05:44:27Z,3226,Prairie Rose,Nanam,,North Korea
ind-69974760-980,Alex,Pickard,1936-07-18T06:19:42Z,43,Elgar,Hongwŏn,,North Korea
ind-39239674-481,Bari,Tomkiss,1944-06-12T03:44:49Z,9809,Twin Pines,Kangdong-ŭp,,North Korea
ind-66252291-885,Thatch,Sprason,2000-07-08T17:28:20Z,9988,Sommers,Kosan,,North Korea
ind-06842519-147,Wernher,Garthshore,2002-07-08T08:32:58Z,364,Del Mar,Hŭngju-dong,,North Korea
ind-86143455-366,Meggie,Matt,1959-04-07T04:26:54Z,0639,Merry,Yuktae-dong,,North Korea
ind-37624812-600,Tandie,Orpin,1955-07-13T18:28:01Z,71,Riverside,Sinmak,,North Korea
ind-38807381-395,Clare,Beak,2000-01-30T00:52:10Z,16151,Brown,Ayang-ni,,North Korea
ind-79877591-682,Dennie,Grist,1967-06-15T18:55:11Z,85,1st,Anak,,North Korea
ind-66606023-812,Holly,Margaret,1965-11-08T07:18:52Z,30,1st,Ongjin,,North Korea
ind-10869031-610,Almira,Wykes,1948-10-09T23:04:57Z,761,Sachtjen,Anju,,North Korea
ind-36536362-499,Margret,Munton,1980-11-23T22:53:59Z,49535,Moose,Hamhŭng,,North Korea
ind-66052432-344,Rycca,Frude,1993-02-20T15:10:56Z,293,Clemons,Kapsan-ŭp,,North Korea
ind-28820821-992,Karyn,Julyan,1937-06-28T05:49:51Z,2644,Sullivan,Hyesan-dong,,North Korea
ind-86854982-540,Abagail,Berecloth,1986-11-16T21:19:44Z,869,Ohio,Sil-li,,North Korea
ind-64228527-133,Gregory,Lanchbury,1977-06-07T23:12:48Z,2077,Golf,Chongjin,,North Korea
ind-65402402-137,Corabella,O'Gleasane,2008-06-07T17:50:25Z,58,Reindahl,Kapsan-ŭp,,North Korea
ind-41304960-337,Kizzee,Baldam,1951-06-01T21:26:11Z,8736,Division,Hoeryŏng,,North Korea
ind-68056316-794,Olly,MacDermid,1944-12-19T23:56:33Z,41782,Esker,Chunghwa,,North Korea
ind-84026219-041,Teresita,Lauderdale,1987-04-14T05:28:15Z,19,Northfield,Songnim,,North Korea
ind-65232879-260,Letta,Huriche,2002-04-13T17:40:13Z,05,Dixon,Hwangju-ŭp,,North Korea
ind-62383408-120,George,Hannant,1996-08-23T00:31:13Z,6,Eastwood,Haeju,,North Korea
ind-65622688-260,Reube,Milthorpe,1987-07-22T08:49:26Z,30141,Emmet,Kapsan-ŭp,,North Korea
ind-41799243-451,Zed,Vaggers,1933-04-29T03:27:56Z,7857,Bobwhite,Kyŏngsŏng,,North Korea
ind-84389623-806,Dion,Allsopp,1984-04-19T06:18:36Z,0550,Banding,Wŏnsan,,North Korea
ind-08553784-971,Isaak,Pardie,1976-01-05T01:14:43Z,3126,Dexter,Sunan,,North Korea
ind-68897059-486,Kesley,Frake,1945-04-14T02:19:50Z,839,Coleman,Hyesan-dong,,North Korea
